,shop_id,shop_name,rating_bad,rating_good,rating_normal,rating_star,place,create_time
138,376934776,shopcamerahanhtrinhchinhhang,48,2202,51,4.850667,"Quận Thanh Xuân, Hà Nội",1611300412
139,822616743,phukiendochoixe,5,1734,4,4.974209,"Quận Thanh Xuân, Hà Nội",1658310173
140,53355040,tueminhcar,22,3400,43,4.90625,"Quận Long Biên, Hà Nội",1516529218
141,251967117,phukienotocarstore98,33,2960,85,4.841571,"Quận Bắc Từ Liêm, Hà Nội",1587352684
142,59469433,ontekco.official.store,98,3660,93,4.76467,"Huyện Thanh Trì, Hà Nội",1520330477
143,646662818,officialstore70mai,40,6096,65,4.910938,"Quận Bình Tân, TP. Hồ Chí Minh",1641376519
144,49961034,doanlanchi,656,14774,756,4.659488,"Quận Gò Vấp, TP. Hồ Chí Minh",1514365659
145,178846272,phukienxehay68,26,1207,40,4.786859,"Quận Hà Đông, Hà Nội",1568277708
146,329402900,70maiofficial,2,364,6,4.907859,"Quận Cầu Giấy, Hà Nội",1603957977
147,115715604,evean.vn,100,1352,102,4.520683,,1545363009
148,21078602,trumcongnghe,268,17752,368,4.847441,"Quận Ngô Quyền, Hải Phòng",1493179370
149,853275892,xalohanoi,0,48,0,4.958333,"Quận Cầu Giấy, Hà Nội",1661875468
150,18418359,thanhthuyleqn,783,49144,1663,4.8107,"Huyện Hoài Đức, Hà Nội",1489780434
151,226608943,hmgtech,38,7717,137,4.890026,"Quận Hà Đông, Hà Nội",1581344322
152,266359740,fitslim.vn,217,6506,275,4.730568,,1590397000
153,706615245,annehong.vn,9,116,6,4.520325,,1646394282
154,775354178,trangdiemxe,24,5567,44,4.916373,"Quận Tân Bình, TP. Hồ Chí Minh",1652968498
155,164933554,pembang.vn,567,15113,668,4.713189,,1563847764
156,329402900,70maiofficial,2,364,6,4.907859,"Quận Cầu Giấy, Hà Nội",1603957977
157,418623401,rebuy1.vn,28,1405,54,4.779221,,1617776702
158,114532625,dc.dochoioto,42,3308,80,4.829029,"Quận Nam Từ Liêm, Hà Nội",1544867526
